Product Name,Product Price
Afnan 9pm EDP,"LKR 3,490.00","
★★★★★  11000+ Decants Shipped ","


A versatile lavender fruity scent perfect for both work and outings. Lasts for 6 – 8 hours. 
🍏 Top Notes: Apple, Cinnamon, Bergamot, Wild Lavender
💐 Heart Notes: Orange Blossom, Lily of the Valley
🌿 Base Notes: Vanilla, Patchouli, Tonka Bean, Amber
Can be recommended for – Fruity, Outings, Work wear, Apple, Lavender 


"
Azzaro The Most Wanted EDP,"LKR 3,390.00","
★★★★★  11000+ Decants Shipped ","


A warm caramel cardamom scent perfect for both casual days and outings. Lasts
for 6 – 8 hours.
🍋 Top notes: Cardamom
❤️ Heart notes: Toffee, Caramel
🌳 Base notes: Amberwood
Can be recommended for – Fresh, Work wear, Daily Wear, Outings, Caramel, Best
seller


"
Bleu De Chanel EDP- Chanel Paris,"LKR 4,990.00","
★★★★★  11000+ Decants Shipped ","


A subtle yet classy lemon ginger scent that makes every day feel special. Lasts for 6 – 8 hours.
🍏 Top Notes: Lemon, Mint, Bergamot, Grapefruit
💐 Heart Notes: Ginger, Jasmin, Melon
🌿 Base Notes: Amberwood, Incense, Amber, Patchouli, Cedar
Can be recommended for – Fresh, Clean, Daily wear, Occasional, Outings, Ginger


"
Calvin Klein (CK) Defy EDP,"LKR 3,990.00","
★★★★★  11000+ Decants Shipped ","


A bold smoky leather with a spicy tangy twist perfect for everyday attention. Lasts for 6 – 8 hours.


Top Notes: 🍊 Mandarin Orange, Black Pepper​


Heart Notes: 🧥 Saffiano Leather, Suede​


Base Note: 🌿 Haitian Vetiver


Can be recommended for – Fresh, Work wear, Daily Wear, Outings, Leathery


"
Calvin Klein (CK) Shock for Him EDT,"LKR 2,790.00","
★★★★★  11000+ Decants Shipped ","


A bold mix of tobacco smoky spices and warmth made for effortless daily casual wear. Lasts upto 3 hours.
🍊 Top Notes: Clementine, Lavender
🌶️ Heart Notes: Cardamom, Pepper, Basil
🌲 Base Notes: Tobacco, Amber, Patchouli
Can be recommended for – Strong, Daily wear, Tobacco


"
Calvin Klein One (CK One),"LKR 2,790.00","
★★★★★  11000+ Decants Shipped ","


A timeless, fresh lemon unisex scent perfect for daily wear. Lasts upto 3 hours.
🌿 Top notes – Lemon, Bergamot, Green Notes
💐 Middle Notes – Violet, Rose, Nutmeg
🌸 Base Notes – Green Accord, Green Tea, Cedar, Amber
Can be recommended for – Fresh, Daily wear, Lemon


"
Club de Nuit Intense Man EDP,"LKR 3,390.00","
★★★★★  11000+ Decants Shipped ","


A vibrant citrus scent bursting with playful energy perfect for lively outings. Lasts for 6 – 8 hours.
🍊 Top notes: Lemon, Bergamot, Pineapple, Apple
🌿 Heart notes: Rose, Jasmine
🔥 Base notes: Musk, Ambergris, Patchouli, Vanilla
Can be recommended for – Strong, Fresh, Outings, Citrus


"
Davidoff Coolwater EDT,"LKR 2,790.00","
★★★★★  11000+ Decants Shipped ","


A minty aquatic freshness designed for effortless daily wear. Lasts upto 3 hours.
🌊 Top notes: Sea Water, Mint, Green Notes
🌳 Heart notes: Neroli
🏔 Base notes: Cedar, Ambergris
Can be recommended for – Fresh, Daily wear, Aquatic


"
Davidoff Coolwater Intense EDP,"LKR 3,490.00","
★★★★★  11000+ Decants Shipped ","


A bold tropical citrus scent with creamy coconut and warm amber depth perfect for confident wear. Lasts for 6 – 8 hours.
🍋 Top Notes: Green Mandarin
🥥 Heart Notes: Coconut Nectar
🌳 Base Notes: Amber
Can be recommended for – Fresh, Tropical, Evening wear, Holidays, Ambery


"
Dior Sauvage EDP,"LKR 4,290.00","
★★★★★  11000+ Decants Shipped ","


A fresh lavender-clean scent made for casual days and outings. Lasts for 6 – 8 hours.
🍊 Top Notes: Bergamot
💐 Heart Notes: Lavender,Star Anise, Nutmeg, Sichuan Pepper
🌲 Base Notes: Ambroxan, Vanilla
Can be recommended for – Fresh, Clean, Daily wear, Outings, Lavender


"
Emporio Armani Stronger With You Intensely EDP,"LKR 3,290.00","
★★★★★  11000+ Decants Shipped ","


A smooth blend of caramel vanilla and pepper crafted for a professional polished presence. Lasts for 6 – 8 hours.
🍊 Top notes: Pink Pepper, Juniper
❤️ Heart notes: Toffee, Cinnamon, Lavender
🔥 Base notes: Vanilla, Amber, Suede
Can be recommended for – Strong, Work wear, Occasional, Outings, Caramel, Vanilla


"
Givenchy Gentleman EDP,"LKR 5,290.00","
★★★★★  11000+ Decants Shipped ","


A bold smoky lavender scent with a touch of cinnamon perfect for leaving a strong impression. Lasts for 6 – 8 hours.
🌿 Top Notes: Black Pepper, Lavender, Bergamot
🌸 Heart Notes: Cloves, Cinnamon
🍦 Base Notes: Black Vanilla Husk, Tonka Bean, Patchouli, Benzoin
Can be recommended for – Strong, Occasional, Outings, Lavender, Cinnamon


"
Gucci Guilty Pour Homme EDP,"LKR 3,990.00","
★★★★★  11000+ Decants Shipped ","


A bold earthy spicy scent with a masculine edge perfect for special occasions. Lasts for 6 – 8 hours.
🌹 Top Notes: Red Chilli Pepper, Salt, Rose
🌼 Heart Notes: Lavender, Orange Blossom, Neroli
🌲 Base Notes: Cedar, Patchouli
Can be recommended for – Strong, Occasional, Outings, Woody


"
Jean Paul Gaultier (JPG) Le Male Elixir,"LKR 4,490.00","
★★★★★  11000+ Decants Shipped ","


A subtle yet sharp lavender vanilla with tobacco perfect for special occasions. Lasts upto 12+ hours.
🍏 Top Notes: Lavender, Mint
💐 Heart Notes: Vanilla
🌿 Base Notes: Honey, Tobacco, Tonka Bean
Can be recommended for – Strong, Occasional, Outings, Tobacco, Vanilla, Long
lasting, Special


"
Louis Vuitton Imagination EDP,"LKR 7,490.00","
★★★★★  11000+ Decants Shipped ","


A refined fresh citrus-aromatic scent with a clean and luxurious character. Lasts for 6 – 8 hours.
🍋 Top Notes: Calabrian Bergamot, Sicilian Orange, Citron
🌿 Heart Notes: Ginger, Neroli, Cinnamon
🍵 Base Notes: Black Tea Accord, Ambroxan, Guaiac Wood
Can be recommended for – Fresh, Clean, Daily wear, Work wear, Warm weather, Luxury


"
Mancera Red Tobacco EDP,"LKR 3,790.00","
★★★★★  11000+ Decants Shipped ","


A bold tobacco-vanilla scent with warm depth perfect for outings and all-day wear. Lasts for 6 – 8 hours.
🌶️ Top Notes: Cinnamon, Incense, Saffron, Oud
🌿 Heart Notes: Patchouli, Jasmine
🍂 Base Notes: Tobacco, Madagascar Vanilla, Amber, Sandalwood
Can be recommended for – Strong, Daily Wear, Outings, Tobacco, Vanilla


"
Mont Blanc Explorer EDP,"LKR 4,490.00","
★★★★★  11000+ Decants Shipped ","


A fresh citrus leather statement scent perfect for any occasion. Lasts for 6 – 8
hours.
🍋 Top Notes: Bergamot, Pink Pepper
🌿 Heart Notes: Leather
🌲 Base Notes: Ambroxan, Indonesian Patchouli, Cacao Pod
Can be recommended for – Fresh, Work wear, Daily Wear Leathery


"
Tom Ford Ombre Leather EDP,"LKR 5,790.00","
★★★★★  11000+ Decants Shipped ","


A bold leather cardamom fragrance with strong projection for occasional unisex wear. Lasts for 6 – 8 hours.

Top Notes: 🌱 Cardamom​
Heart Notes: 🧥 Heart Notes: Leather, Jasmine Sambac​
Base Note: ✨  Amber, Moss, Patchouli
Can be recommended for – Fresh, Clean, Occasional, Outings, Leather


"
Versace Eros EDP,"LKR 4,290.00","
★★★★★  11000+ Decants Shipped ","


A tangy mint fresh scent that leaves a crisp clean impression at work. Lasts for 6 – 8 hours.
🍃 Top Notes: Mint, Lemon, Candy Apple
💥 Heart Notes: Ambroxan
🌲 Base Notes: Cedar, Vanilla, Bitter Orange, Patchouli
Can be recommended for – Fresh, Work wear, Minty


"
YSL Y EDP (Yves Saint Laurent),"LKR 5,490.00","
★★★★★  11000+ Decants Shipped ","


A bold apple ginger scent with a hint of mysterious salt perfect for making a statement. Lasts for 6 – 8 hours.
🍎 Top Notes: Apple, Ginger, Bergamot
🌿 Heart Notes: Sage, Juniper Berries
🌲 Base Notes: Amberwood, Tonka Bean, Cedar
Can be recommended for – Fresh, Clean, Daily wear, Outings, Apple


"
